fund_id,fund_name,currency_pair,net_position,trade_count,active_trades,weighted_avg_rate,total_volume,first_trade_date,last_trade_date,total_buys,total_sells,unique_traders,traders,unique_counterparties,counterparties,position_status,position_size_category
1,GMF,CHF/NOK,-10000000.0,1,0,6.784084,10000000.0,2014-01-22,2014-01-22,0.0,10000000.0,1,VE,1,UBS,SHORT,MEDIUM (10M-100M)
1,GMF,CHF/JPY,-9000000.0,2,0,114.76455,9000000.0,2014-01-17,2014-01-17,0.0,9000000.0,1,VE,1,UBS,SHORT,SMALL (1M-10M)
1,GMF,USD/KRW,-8736894.72,8,0,1128.01753,83802003.94,2014-02-12,2023-09-28,37532554.61,46269449.33,4,"kt, mt, ps, VE",2,"JPM, UBS",SHORT,SMALL (1M-10M)
1,GMF,CHF/AUD,-8625000.0,4,0,1.289534,61375000.0,2014-02-06,2017-02-15,26375000.0,35000000.0,2,"KT, VE",3,"CS, JPM, RBS",SHORT,SMALL (1M-10M)
1,GMF,EUR/AUD,7500000.0,12,1,1.667673,120500000.0,2013-09-25,2025-06-17,64000000.0,56500000.0,2,"MT, VE",2,"JPM, UBS",LONG,SMALL (1M-10M)
1,GMF,USD/HKD,6448371.72,36,0,7.755645,497915887.77,2015-02-03,2017-06-13,252182129.75,245733758.02,3,"AC, KT, VE",7,"CITI, CS, GS, JPM, MS, RBS, UBS",LONG,SMALL (1M-10M)
1,GMF,AUD/CHF,-3246050.0,1,0,0.812801,3246050.0,2014-03-28,2014-03-28,0.0,3246050.0,1,VE,1,UBS,SHORT,SMALL (1M-10M)
1,GMF,USD/THB,-2676167.16,9,1,33.374584,85323832.84,2022-01-06,2025-06-17,41323832.84,44000000.0,3,"mt, MT, ps",4,"BNP, JPM, RBS, UBS",SHORT,SMALL (1M-10M)
1,GMF,USD/ILS,-1221629.46,28,0,3.6489,328110817.59,2015-02-25,2022-06-08,163444594.07,164666223.52,4,"KT, mt, ps, VE",5,"CS, DB, DRAX, JPM, UBS",SHORT,SMALL (1M-10M)
1,GMF,USD/CZK,1122717.03,16,0,24.369317,467423062.15,2015-09-11,2022-09-13,234272889.59,233150172.56,2,"KT, ps",5,"CITI, COBA, CS, JPM, UBS",LONG,SMALL (1M-10M)
1,GMF,SGD/USD,-923060.0,1,0,0.7428,923060.0,2022-12-13,2022-12-13,0.0,923060.0,1,ps,1,UBS,SHORT,TINY (<1M)
1,GMF,USD/CLP,550715.03,6,0,660.543992,66550715.03,2016-11-15,2017-09-08,33550715.03,33000000.0,2,"KT, VE",2,"GS, JPM",LONG,TINY (<1M)
1,GMF,CAD/USD,539686.0,12,0,0.944276,91787068.0,2013-06-27,2023-12-19,46163377.0,45623691.0,2,"ps, VE",2,"DB, UBS",LONG,TINY (<1M)
1,GMF,USD/SEK,-528332.16,13,0,8.597238,205106072.4,2016-04-14,2022-12-15,102288870.12,102817202.28,5,"kt, KT, mt, ps, VE",6,"BAC, COBA, CS, JPM, MS, UBS",SHORT,TINY (<1M)
1,GMF,USD/NOK,-475260.25,3,0,6.245534,20475260.25,2014-02-03,2019-09-11,10000000.0,10475260.25,2,"kt, VE",2,"JPM, RBS",SHORT,TINY (<1M)
1,GMF,EUR/CZK,-471474.31,21,0,25.88379,360439504.21,2015-08-11,2022-12-13,179984014.95,180455489.26,3,"KT, ps, VE",3,"JPM, MSEC, UBS",SHORT,TINY (<1M)
1,GMF,EUR/CHF,403086.55,41,0,1.012185,697909142.27,2014-08-22,2024-06-26,349156114.41,348753027.86,6,"KT, mt, MT, ps, PS, VE",6,"CITI, DB, GS, JPM, RBS, UBS",LONG,TINY (<1M)
1,GMF,USD/RUB,248559.02,3,0,72.031396,15248559.02,2016-06-02,2017-06-05,7748559.02,7500000.0,1,KT,3,"CITI, JPM, UBS",LONG,TINY (<1M)
1,GMF,USD/TRY,113576.99,6,0,2.252572,100113576.99,2014-11-05,2014-11-12,50113576.99,50000000.0,1,VE,2,"JPM, UBS",LONG,TINY (<1M)
1,GMF,EUR/CAD,-84705.08,11,0,1.471046,109415294.92,2020-01-03,2025-01-15,54665294.92,54750000.0,2,"kt, MT",3,"BAC, CITI, UBS",SHORT,TINY (<1M)
1,GMF,XAU/USD,0.0,19,0,1798.02279,150000.0,2021-05-19,2022-11-03,75000.0,75000.0,1,ps,1,UBS,FLAT,TINY (<1M)
1,GMF,EUR/JPY,0.0,10,0,127.298699,71400000.0,2018-11-21,2019-02-19,35700000.0,35700000.0,1,kt,5,"CITI, JPM, MSEC, RBS, UBS",FLAT,TINY (<1M)
1,GMF,JPY/KRW,0.0,6,0,9.139462,5300000000.0,2023-07-07,2023-09-28,2650000000.0,2650000000.0,1,ps,2,"DRAX, UBS",FLAT,TINY (<1M)
1,GMF,CAD/NOK,0.0,2,0,6.653368,26400000.0,2019-06-21,2019-08-27,13200000.0,13200000.0,1,kt,2,"RBS, UBS",FLAT,TINY (<1M)
1,GMF,EUR/CNH,0.0,2,0,7.933676,20000000.0,2020-05-19,2020-10-05,10000000.0,10000000.0,2,"kt, mt",2,"CITI, UBS",FLAT,TINY (<1M)
6,GCF,USD/MXN,-40000000.0,5,1,19.411532,133600000.0,2025-02-05,2025-06-19,46800000.0,86800000.0,1,MT,2,"DRAX, UBS",SHORT,MEDIUM (10M-100M)
6,GCF,USD/CNH,32000000.0,19,1,7.199677,600000000.0,2024-05-03,2025-06-17,316000000.0,284000000.0,1,MT,2,"JPM, UBS",LONG,MEDIUM (10M-100M)
6,GCF,USD/SGD,-32000000.0,17,1,1.323549,435800000.0,2024-05-03,2025-06-17,201900000.0,233900000.0,1,MT,1,UBS,SHORT,MEDIUM (10M-100M)
6,GCF,EUR/AUD,-24000000.0,9,1,1.696279,408000000.0,2024-09-11,2025-06-17,192000000.0,216000000.0,1,MT,1,UBS,SHORT,MEDIUM (10M-100M)
6,GCF,USD/JPY,-17398453.03,60,1,146.945716,1343848453.03,2024-06-14,2025-06-17,663225000.0,680623453.03,1,MT,5,"BAC, CITI, DRAX, JPM, UBS",SHORT,MEDIUM (10M-100M)
6,GCF,USD/THB,-8000000.0,3,1,32.7457,24000000.0,2025-04-23,2025-06-17,8000000.0,16000000.0,1,MT,1,UBS,SHORT,SMALL (1M-10M)
6,GCF,USD/BRL,-8000000.0,3,1,5.623015,24000000.0,2025-04-23,2025-06-17,8000000.0,16000000.0,1,MT,1,UBS,SHORT,SMALL (1M-10M)
6,GCF,USD/INR,-0.27,10,0,86.216578,92804971.73,2024-11-13,2025-02-25,46402485.73,46402486.0,1,MT,3,"CITI, DRAX, UBS",SHORT,TINY (<1M)
6,GCF,USD/CAD,0.0,6,0,1.360582,128000000.0,2024-07-11,2024-09-11,64000000.0,64000000.0,1,MT,2,"CITI, UBS",FLAT,TINY (<1M)
6,GCF,AUD/USD,0.0,4,0,0.627506,80000000.0,2025-04-09,2025-06-17,40000000.0,40000000.0,1,MT,1,UBS,FLAT,TINY (<1M)
6,GCF,EUR/CAD,0.0,8,0,1.490752,96000000.0,2024-12-18,2025-01-15,48000000.0,48000000.0,1,MT,3,"BAC, CITI, UBS",FLAT,TINY (<1M)
6,GCF,EUR/CHF,0.0,11,0,0.963903,240000000.0,2024-05-03,2024-06-26,120000000.0,120000000.0,1,MT,3,"CITI, JPM, UBS",FLAT,TINY (<1M)
6,GCF,EUR/USD,0.0,10,0,1.08757,426000000.0,2024-05-03,2025-06-17,213000000.0,213000000.0,1,MT,2,"JPM, UBS",FLAT,TINY (<1M)
6,GCF,AUD/CAD,0.0,16,0,0.904776,700000000.0,2024-05-03,2024-12-18,350000000.0,350000000.0,1,MT,2,"CITI, UBS",FLAT,TINY (<1M)
